Language family,ISO language name,Native name (endonym),639-1,639-2/T,639-2/B,639-3,Notes
Niger–Congo,Swati,SiSwati,ss,ssw,ssw,ssw,also known as Swazi
Indo-European,Swedish,Svenska,sv,swe,swe,swe,
Dravidian,Tamil,தமிழ�?ta,tam,tam,tam,,
Dravidian,Telugu,తెలుగు,te,tel,tel,tel,
Indo-European,Tajik, ,tg,tgk,tgk,tgk,
Tai–Kadai,Thai,ไท�?th,tha,tha,tha,,
Afro-Asiatic,Tigrinya,ትግርኛ,ti,tir,tir,tir,
Sino-Tibetan,Tibetan,བོད་ཡི�?bo,bod,,bod,also known as Standard Tibetan,
Turkic,Turkmen,Türkmen Түркмен,tk,tuk,tuk,tuk,
Austronesian,Tagalog,Wikang Tagalog,tl,tgl,tgl,tgl,Note: 
Niger–Congo,Tswana,Setswana,tn,tsn,tsn,tsn,
Austronesian, (Tonga Islands),Faka Tonga,to,ton,ton,ton,also known as Tongan
Turkic,Turkish,Türkçe,tr,tur,tur,tur,
Niger–Congo,Tsonga,Xitsonga,ts,tso,tso,tso,
Turkic,Tatar, ,tt,tat,tat,tat,
Niger–Congo,Twi,Twi,tw,twi,twi,twi,Covered by macrolanguage [ak/aka]
Austronesian,Tahitian,Reo Tahiti,ty,tah,tah,tah,One of the Reo Mā`ohi (languages of French Polynesia)
Turkic, Uyghur,�?,ug,uig,uig,uig,
Indo-European,Ukrainian,Українська,uk,ukr,ukr,ukr,
Indo-European,Urdu,,ur,urd,urd,urd,
Turkic,Uzbek, ,uz,uzb,uzb,uzb + ,macrolanguage
Niger–Congo,Venda,Tshivenḓa,ve,ven,ven,ven,
Austroasiatic,Vietnamese,Tiếng Việt,vi,vie,vie,vie,
Constructed,Volapük,Volapük,vo,vol,vol,vol,constructed
Indo-European,Walloon,Walon,wa,wln,wln,wln,
Indo-European,Welsh,Cymraeg,cy,cym,,cym,
Niger–Congo,Wolof,Wollof,wo,wol,wol,wol,
Indo-European,Western Frisian,Frysk,fy,fry,fry,fry,also known as Frisian
Niger–Congo,Xhosa,isiXhosa,xh,xho,xho,xho,
Indo-European,Yiddish,,yi,yid,yid,yid + ,macrolanguage. Changed in 1989 from original ISO 639:1988 ji.
Niger–Congo,Yoruba,Yorùbá,yo,yor,yor,yor,
Tai–Kadai, Chuang,Saɯ cueŋƅ Saw cuengh,za,zha,zha,zha + ,macrolanguage
Niger–Congo,Zulu,isiZulu,zu,zul,zul,zul,
